Artist,Title,explicit,duration_ms,key,mode,time_signature,tempo,danceability,energy,valence,loudness,speechiness,acousticness,instrumentalness,liveness
Pez,Lucifer,0,150466,0.0,1.0,4.0,144.71,0.279,0.949,0.436,-4.132,0.0474,0.00142,0.00399,0.162
Pez,"Cuidate, Monito",0,268026,0.0,1.0,4.0,121.297,0.337,0.813,0.549,-6.084,0.04,0.0011,0.0306,0.0861
Pez,Calabacita,0,155680,9.0,1.0,4.0,122.614,0.589,0.359,0.283,-8.804,0.0277,0.114,2.68e-05,0.112
Pez,Último Acto - En Vivo,0,195216,5.0,1.0,4.0,136.443,0.235,0.973,0.275,-5.919,0.0993,1.8e-05,0.709,0.387
Pez,Cabeza de Departamento - En Vivo,0,181435,4.0,0.0,4.0,99.68,0.232,0.962,0.317,-4.683,0.113,4.34e-05,0.894,0.16
Pez,Ahogarme - En Vivo,0,80977,7.0,1.0,4.0,95.787,0.238,0.993,0.179,-3.8,0.109,0.000488,0.907,0.571
Pez,El Desengaño - En Vivo,0,143079,7.0,0.0,4.0,170.566,0.263,0.989,0.39,-3.596,0.0978,0.00662,0.956,0.897
Pez,Y Ahora de Qué Vamos a Hablar? - En Vivo,0,263376,5.0,1.0,4.0,88.56,0.212,0.958,0.315,-5.627,0.208,0.00038,0.724,0.671
Pez,Bandera Negra - En Vivo,0,257282,7.0,1.0,4.0,93.309,0.305,0.989,0.194,-4.157,0.106,0.000165,0.884,0.757
Pez,Vamos! - En Vivo,0,145100,9.0,0.0,4.0,174.706,0.126,0.984,0.215,-3.598,0.0942,0.00162,0.834,0.168
Pez,Miedo - En Vivo,0,433278,9.0,1.0,4.0,125.688,0.222,0.955,0.292,-4.396,0.0798,0.00101,0.68,0.85
Pez,Roma - En Vivo,0,143675,9.0,1.0,4.0,176.686,0.175,0.968,0.565,-4.391,0.111,0.0062,0.836,0.412
Pez,Introducción Declaración Adivinanza - En Vivo,1,209860,5.0,1.0,4.0,81.75,0.152,0.98,0.292,-4.876,0.3,0.00157,0.684,0.69
Pez,Espíritu Inquieto - En Vivo,0,295039,4.0,0.0,4.0,124.777,0.275,0.953,0.273,-4.229,0.0815,0.00148,0.793,0.157
Pez,De Como el Hombre Perdió - En Vivo,0,355423,0.0,1.0,4.0,122.817,0.221,0.969,0.198,-4.964,0.136,0.00127,0.767,0.113
Pez,El Cantor - En Vivo,0,351356,4.0,0.0,4.0,157.553,0.222,0.915,0.221,-5.503,0.376,0.0379,0.357,0.57
Pez,Haciendo Real el Sueño Imposible - En Vivo,0,365709,9.0,1.0,4.0,82.194,0.333,0.883,0.338,-6.011,0.241,0.0153,0.839,0.989
Pez,Fuerza - En Vivo,0,194381,5.0,1.0,4.0,96.061,0.287,0.969,0.341,-4.619,0.074,0.000748,0.679,0.0982
Pez,No Mi Corazón Coraza - En Vivo,0,173861,5.0,1.0,4.0,81.089,0.251,0.96,0.206,-5.169,0.313,0.0745,0.96,0.705
Pez,Rompe el Alba - En Vivo,0,55408,5.0,1.0,3.0,68.139,0.245,0.633,0.557,-4.771,0.0686,0.00331,0.26,0.826
Pez,Lo Que Se Ve No Es Lo Real - En Vivo,0,233468,4.0,0.0,4.0,99.405,0.301,0.957,0.435,-4.728,0.0789,0.000193,0.749,0.694
Pez,Os Garcas,0,232730,11.0,1.0,4.0,90.382,0.346,0.89,0.27,-5.751,0.0432,4.05e-05,0.689,0.14
Pez,La Bestia Dormida,0,209648,11.0,0.0,4.0,156.458,0.254,0.923,0.466,-6.464,0.0805,0.0287,0.738,0.124
Pez,La Madre de Todas las Artes,0,424484,0.0,1.0,4.0,171.371,0.165,0.942,0.43,-5.755,0.104,0.00019,0.532,0.105
Pez,La Casa del Horror,0,137835,0.0,1.0,4.0,166.682,0.307,0.923,0.521,-5.856,0.0506,0.000748,0.0213,0.123
Pez,Bandera Negra,0,284372,11.0,0.0,4.0,90.816,0.227,0.945,0.349,-4.819,0.0572,3.11e-05,0.614,0.349
Pez,"Nueva Era, Viejas Mañas",0,137529,9.0,1.0,4.0,100.964,0.316,0.927,0.628,-5.229,0.0496,5.47e-05,0.313,0.19
Pez,"Hombre-Máquina, Corta el Monólogo Interno Ya!",0,174570,10.0,1.0,4.0,169.879,0.286,0.949,0.502,-5.916,0.0552,0.000945,0.00271,0.0663
Pez,Aquello Que Late y Espera,0,89338,2.0,1.0,4.0,166.145,0.13,0.79,0.204,-5.657,0.0851,0.0609,0.85,0.118
Pez,La Leyenda del Indomable,0,164086,11.0,1.0,3.0,169.458,0.262,0.96,0.551,-5.184,0.0517,0.00133,0.85,0.232
Pez,El Temible Hongo Fusarium,0,167847,4.0,0.0,4.0,167.727,0.189,0.936,0.697,-5.698,0.063,2.14e-05,0.504,0.125
Pez,Los Verdaderos Sonidos de la Libertad,0,536390,0.0,1.0,3.0,145.507,0.207,0.646,0.127,-7.718,0.0335,0.00923,0.407,0.135
Pez,De Cómo el Hombre Perdió,0,351266,9.0,1.0,4.0,168.485,0.0893,0.945,0.101,-4.887,0.098,0.0146,0.0728,0.493
Pez,Lo Interesante Es por Afuera,0,184920,11.0,0.0,4.0,170.946,0.0965,0.909,0.321,-4.713,0.0636,0.00751,7.63e-05,0.59
Pez,Y Ahora de Qué Vamos a Hablar?,0,363693,10.0,0.0,3.0,186.297,0.158,0.931,0.343,-5.879,0.16,0.0163,0.0127,0.26
Pez,Cavernas,0,208053,4.0,0.0,1.0,175.865,0.243,0.885,0.33,-4.821,0.169,0.234,0.000282,0.639
Pez,El Motivo,0,141160,4.0,0.0,4.0,164.668,0.134,0.941,0.463,-4.17,0.0596,0.0138,0.0,0.881
Pez,Aferrándonos Desesperadamente a Lo Poco Bueno Que Queda,0,266560,5.0,1.0,4.0,144.343,0.398,0.491,0.288,-7.769,0.0515,0.221,0.256,0.0774
Pez,Seremos Recuerdo,0,222386,9.0,0.0,4.0,148.33,0.19,0.861,0.377,-5.634,0.0517,0.134,0.15,0.176
Pez,Confrontación,0,214933,9.0,0.0,4.0,157.924,0.3,0.828,0.654,-6.042,0.102,0.0606,0.0356,0.0741
Pez,La Última Semilla,0,328426,9.0,1.0,4.0,185.714,0.12,0.838,0.228,-5.484,0.0523,0.042,0.0194,0.329
Pez,El Idiota,0,180853,2.0,1.0,4.0,95.497,0.311,0.837,0.399,-4.325,0.0652,0.0284,0.000368,0.712
Pez,Y por Ahi Escuché Decir Que Aún Existe Ese Lugar Donde Todavía Hay Humanos,0,147746,5.0,1.0,4.0,143.515,0.171,0.942,0.164,-4.424,0.0811,0.236,0.000151,0.303
Pez,Roma - En Vivo,0,186986,11.0,0.0,4.0,174.054,0.187,0.965,0.215,-5.981,0.124,0.0534,0.00457,0.246
Pez,Quiebran - En Vivo,0,172266,4.0,1.0,4.0,181.83,0.142,0.979,0.167,-5.169,0.0883,0.00616,0.00633,0.471
Pez,Ahogarme - En Vivo,0,81520,7.0,1.0,4.0,95.341,0.333,0.989,0.228,-5.632,0.119,0.0233,0.0,0.88
Pez,El Desengaño - En Vivo,0,148000,7.0,0.0,4.0,171.067,0.242,0.971,0.389,-6.13,0.135,0.0801,0.000208,0.57
Pez,Introducción Declaración Adivinanza - En Vivo,0,204093,9.0,0.0,4.0,160.182,0.182,0.974,0.262,-6.061,0.13,0.000977,0.0155,0.692
Pez,Desde el Viento en la Montaña Hasta la Espuma del Mar - En Vivo,0,230026,4.0,0.0,4.0,176.358,0.113,0.951,0.304,-6.106,0.0792,0.0504,0.00605,0.905
Pez,Cassette - En Vivo,0,131866,2.0,1.0,4.0,172.361,0.225,0.974,0.198,-5.871,0.135,0.00902,0.000599,0.591
Pez,Fuerza - En Vivo,0,204506,5.0,1.0,4.0,185.572,0.137,0.985,0.119,-5.81,0.127,0.00171,0.0298,0.893
Pez,No Mi Corazón Coraza - En Vivo,0,158986,7.0,0.0,4.0,172.279,0.28,0.968,0.158,-6.363,0.214,0.244,0.0126,0.937
Pez,Vamos! - En Vivo,0,143893,0.0,1.0,4.0,168.145,0.199,0.962,0.333,-4.672,0.123,0.0519,0.000441,0.578
Pez,Los Orfebres - En Vivo,0,285400,4.0,0.0,1.0,178.459,0.29,0.973,0.482,-5.903,0.215,0.0518,0.131,0.872
Pez,Soñar Soñar - En Vivo,0,147960,7.0,1.0,4.0,185.159,0.12,0.968,0.411,-5.062,0.136,0.0534,0.0618,0.683
Pez,Bettie al Desierto - En Vivo,0,150000,0.0,1.0,4.0,158.784,0.274,0.713,0.157,-7.272,0.0661,0.674,8.8e-05,0.85
Pez,La Estética del Resentimiento - En Vivo,0,229013,2.0,1.0,3.0,174.038,0.253,0.832,0.328,-8.003,0.303,0.183,0.0364,0.65
Pez,Los Caretas del Reggae Se Lo Quieren Llevar Pero el Porro Es del Metal - En Vivo,1,116960,7.0,1.0,1.0,108.03,0.301,0.997,0.133,-5.252,0.0879,0.00418,0.306,0.973
Pez,Conciencia - En Vivo,0,128893,9.0,0.0,4.0,178.816,0.179,0.961,0.241,-4.491,0.127,0.1,0.0643,0.692
Pez,Haciendo Real el Sueño Imposible - En Vivo,0,288213,9.0,1.0,4.0,169.26,0.355,0.721,0.214,-9.713,0.163,0.225,0.709,0.967
Pez,Último Acto - En Vivo,0,165453,5.0,1.0,4.0,139.763,0.258,0.993,0.246,-5.264,0.0986,0.00034,0.335,0.763
Pez,Gala - En Vivo,0,39906,4.0,0.0,4.0,112.527,0.319,0.991,0.302,-4.141,0.261,0.148,0.0,0.975
Pez,Caballo Loco - En Vivo,0,494186,2.0,1.0,4.0,112.288,0.164,0.715,0.0364,-6.046,0.0841,0.149,0.135,0.295
Pez,Latigazo,0,180160,2.0,1.0,4.0,161.52,0.382,0.969,0.68,-5.341,0.0585,0.0047,1.02e-05,0.311
Pez,Vamos,0,142840,9.0,0.0,4.0,164.662,0.304,0.872,0.562,-5.818,0.0738,0.00608,0.0,0.124
Pez,Al Tun Tun,0,134693,4.0,1.0,4.0,150.311,0.242,0.965,0.585,-5.001,0.0578,0.000545,0.0036,0.625
Pez,Cassette,0,138306,11.0,0.0,4.0,164.226,0.34,0.973,0.422,-5.127,0.0724,0.0102,7.31e-05,0.205
Pez,Volar Volar Volar,0,60266,7.0,1.0,4.0,129.498,0.336,0.935,0.599,-4.949,0.0563,0.000928,0.0,0.788
Pez,Las Escondidas,0,118560,4.0,0.0,4.0,81.788,0.266,0.939,0.871,-6.454,0.0623,0.0012,0.0182,0.177
Pez,Estableciendo Comunicación,0,206186,9.0,1.0,4.0,163.98,0.265,0.715,0.126,-7.539,0.0361,0.0844,0.00128,0.11
Pez,Vos No Sabes Mentir,0,184826,11.0,0.0,4.0,162.528,0.37,0.882,0.649,-6.786,0.0699,0.000714,0.000119,0.115
Pez,Soñar Soñar,0,150600,7.0,1.0,4.0,176.188,0.184,0.963,0.615,-5.041,0.0547,0.00658,0.0,0.429
Pez,Un Nuevo Juego,0,144546,9.0,1.0,4.0,97.25,0.362,0.951,0.398,-5.519,0.0461,0.00604,4.7e-06,0.32
Pez,Y Eso Vale,0,178093,4.0,0.0,3.0,110.573,0.312,0.916,0.494,-6.069,0.0687,0.00483,0.000632,0.427
Pez,Y Ella Besó Sus Manos,0,64146,2.0,1.0,3.0,116.983,0.326,0.913,0.561,-5.532,0.0737,0.00847,0.0,0.55
Pez,Suerte de Plegaria,0,309800,7.0,1.0,4.0,129.739,0.507,0.507,0.0965,-8.694,0.026,0.0295,0.0115,0.0818
Pez,Porvenir,0,240266,9.0,0.0,4.0,107.722,0.358,0.943,0.198,-7.025,0.083,0.00467,0.0315,0.163
Pez,Roma,0,158333,9.0,1.0,4.0,165.305,0.183,0.935,0.584,-5.908,0.073,0.00181,9.68e-06,0.281
Pez,Refugio,0,263813,11.0,0.0,4.0,147.809,0.228,0.827,0.366,-7.64,0.0778,0.0142,0.00444,0.132
Pez,Quiebran,0,165706,4.0,1.0,4.0,95.463,0.143,0.953,0.338,-5.214,0.0497,4.81e-05,1.39e-06,0.813
Pez,Eyéctenlo,0,47133,2.0,1.0,4.0,91.935,0.262,0.991,0.226,-4.411,0.0554,0.000792,1.47e-05,0.893
